product_id,product_name,product_unit,product_price,supplier_id,category_id,supplier_name,supplier_contact,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_phone,category_name,category_description,od_id,order_id,product_quantity,customer_id,employee_id,order_date,shipper_id,customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,employee_last_name,employee_first_name,employee_birthdate,employee_photo,employee_notes,shipper_name,shipper_phone
70,"Outback Lager","24 - 355 ml bottles",15,7,1,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Beverages,"Soft drinks, coffees, teas, beers, and ales",163,10308,5,2,7,1996-09-18,3,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitucion 2222","Mexico D.F.",05021,Mexico,King,Robert,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.","Federal Shipping","(503) 555-9931"
69,Gudbrandsdalsost,"10 kg pkg.",36,15,4,"Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010,"Dairy Products",Cheeses,162,10308,1,2,7,1996-09-18,3,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitucion 2222","Mexico D.F.",05021,Mexico,King,Robert,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.","Federal Shipping","(503) 555-9931"
11,"Queso Cabrales","1 kg pkg.",21,5,4,"Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra","Calle del Rosal 4",Oviedo,33007,Spain,"(98) 598 76 54","Dairy Products",Cheeses,314,10365,24,3,3,1996-11-27,2,"Antonio Moreno Taqueria","Antonio Moreno","Mataderos 2312","Mexico D.F.",05023,Mexico,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.","United Package","(503) 555-3199"
56,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,26,5,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Grains/Cereals,"Breads, crackers, pasta, and cereal",360,10383,20,4,8,1996-12-16,3,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","Federal Shipping","(503) 555-9931"
57,"Ravioli Angelo","24 - 250 g pkgs.",19.5,26,5,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Grains/Cereals,"Breads, crackers, pasta, and cereal",286,10355,25,4,6,1996-11-15,1,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.","Speedy Express","(503) 555-9831"
50,"Valkoinen suklaa","12 - 100 g bars",16.25,23,3,"Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956",Confections,"Desserts, candies, and sweet breads",359,10383,15,4,8,1996-12-16,3,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","Federal Shipping","(503) 555-9931"
24,"Guarana Fantastica","12 - 355 ml cans",4.5,10,1,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640",Beverages,"Soft drinks, coffees, teas, beers, and ales",285,10355,25,4,6,1996-11-15,1,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.","Speedy Express","(503) 555-9831"
13,Konbu,"2 kg box",6,6,8,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877",Seafood,"Seaweed and fish",358,10383,20,4,8,1996-12-16,3,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","Federal Shipping","(503) 555-9931"
60,"Camembert Pierrot","15 - 300 g rounds",34,28,4,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,"Dairy Products",Cheeses,362,10384,15,5,3,1996-12-16,3,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.","Federal Shipping","(503) 555-9931"
20,"Sir Rodneys Marmalade","30 gift boxes",81,8,3,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Confections,"Desserts, candies, and sweet breads",361,10384,28,5,3,1996-12-16,3,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.","Federal Shipping","(503) 555-9931"
75,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,12,1,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Beverages,"Soft drinks, coffees, teas, beers, and ales",86,10280,30,5,2,1996-08-14,1,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Fuller,Andrew,1952-02-19,EmpID2.pic,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.","Speedy Express","(503) 555-9831"
